TRACKINGNUMBER,ORDERNUMBER,DATE,RECEIVER,COST,WEIGHT,RECEIVERORDERNUMBER
"1Z9842480340695642","318045","20200316","AMAZON.COM INC","8.83","0.6","1BT5B4WS"
"1Z9842480340363367","318096","20200317","PRAIRIE LIGHTS BOOKS","9.93","6.5","7265"
"1Z9842480341165570","318095","20200317","LEFT BANK BOOKS - ST LOUIS","0.00","1.2","2543155"
"1Z9842480342100388","318101","20200317","COUTTS LIBRARY SERVICE","0.00","0.5","F4541660"
"1Z9842486842123796","317499-1","20200317","TYPE BOOKS","24.10","0.9","16392"
"1Z9842480340551805","317473","20200318","UNIV OF OREGON BOOKSTORE","0.00","3.2",
"1Z9842480340660410","317474-1","20200318","MCNALLY JACKSON SEAPORT LLC","10.14","5.5",
"1Z9842480341285628","317889-1","20200318","LEFT BANK BOOKS - ST LOUIS","0.00","0.6",
"1Z9842480340423435","318111","20200318","YBP LIBRARY SERVICES","0.00","0.6",
"1Z9842480240620858","318114","20200319","BARNES & NOBLE INC","0.00","0.7","1304544002694"
"1Z9842480341872467","318124","20200319","SEMINARY CO-OP BKSTR, INC","10.14","5.2","7428Q"
"1Z9842480340220672","317221-2","20200319","KONA BAY BOOKS","11.91","0.5","030220"
"1Z9842480341461482","317673-1","20200319","RIFFRAFF","8.82","0.8","11249"
"1Z9842480342150897","317575-1","20200319","GULF OF MAINE BOOKS","8.83","3.0","98436"
"1Z9842480342204909","316768-2","20200319","BARNES  &  NOBLE","0.00","29.1","02811631"
"1Z9842480342204909","316768-2","20200319","BARNES  &  NOBLE","0.00","28.2","02811631"
"1Z9842480342110877",,"20200320","BARNES & NOBLE DISTRIBIUTION","0.00","3.9",
"1Z9842480342763681","318127","20200320","HARVARD BOOK STORE","0.00","1.0","X165703"
"1Z9842480340585092","318126","20200320","REED COLLEGE BOOKSTORE","0.00","1.2","TS5623"
"1Z9842480342691106","318135","20200320","BRODART CO","0.00","2.4","F4542732"
"1Z9842480341945978","318072","20200320","INGRAM BOOK CO","109.36","26.0","NZ073CTR"
"1Z9842480341945978","318072","20200320","INGRAM BOOK CO","109.36","31.0","NZ073CTR"
"1Z9842480341945978","318072","20200320","INGRAM BOOK CO","109.36","33.0","NZ073CTR"
"1Z9842480341945978","318072","20200320","INGRAM BOOK CO","109.36","31.0","NZ073CTR"
"1Z9842480341945978","318071","20200320","INGRAM BOOK CO","109.36","14.0","NZ073BQN"
"1Z9842480341945978","317729-2","20200320","INGRAM BOOK CO","109.36","21.0","NZ066B8R"
"1Z9842480341945978","318072-1","20200320","INGRAM BOOK CO","109.36","5.0","NZ073CTR"
"1Z9842480341945978","318071-1","20200320","INGRAM BOOK CO","109.36","2.0","NZ073BQN"
"1Z9842480341945978","316827-4","20200320","INGRAM BOOK CO","109.36","8.0","NZ052BKR"
"1Z9842480341945978","315909-6","20200320","INGRAM BOOK CO","109.36","1.0","NZ035BYR"
"1Z9842480341945978","316826-3","20200320","INGRAM BOOK CO","109.36","3.0","NZ052BFN"
"1Z9842480341945978","317728-1","20200320","INGRAM BOOK CO","109.36","3.0","NZ066BJN"
"1Z9842480341945978","317218-3","20200320","INGRAM BOOK CO","109.36","5.0","NZ059A3N"
"1Z9842480340417308","318188","20200323","PALABRAS BILINGUAL BKSTR","9.37","8.1","032320"
"1Z9842480341455917","318142","20200323","OSU BOOKSTORE","0.00","7.4","M0543311TX"
"1Z9842480341811120","318144","20200323","PIERCE COLLEGE BKSTR BN - 8063","0.00","4.5","806366007091"
"1Z9842480342478936","317960","20200323","UNIV OF OREGON BOOKSTORE","0.00","8.5","PO29921"
"1Z9842480341215346","318189","20200323","OPEN BOOKS:  A POEM EMPORIUM","8.85","4.6","032320SPD"
"1Z9842480342136359","318190","20200323","BRODART CO","0.00","0.4","637069"
"1Z9842480341317969","318182","20200323","AMAZON.COM INC","8.83","1.2","37BZL5WO"
"1Z9842480342396177","318221","20200324","EMERY-PRATT CO","0.00","1.0","911401"
"1Z9842480340041320","318259","20200326","YAKIMA VALLEY CC BKSTR","0.00","3.8","816866004866"
"1Z9842480342521138","317083-1","20200326","CARLOW UNIVERSITY BKSTR","0.00","2.1","812868040320"
"1Z9842480342021473","318283","20200327","BARNES & NOBLE","0.00","7.6","07129298"
"1Z9842480340311529","318123","20200327","UNIV OF OREGON BOOKSTORE","0.00","5.2","PO30028"
"1Z9842480341003333","318290","20200327","UNIV OF HAWAI'I MANOA BKSTR","20.90","0.5","OUZM161312"
"1Z9842480341203742","318285","20200327","COUTTS LIBRARY SERVICE","0.00","3.2","F4542746"
